Datum,Abteilung,Produkt,Fehlerkategorie,Schweregrad,Status,Anzahl_Fehler,Prüfer,Bemerkung
2025-05-20,Fertigung,Produkt D,Maßabweichung,Gering,Behoben,3,Schmidt,Planheit außer Toleranz
2025-05-22,Fertigung,Produkt A,Materialfehler,Mittel,In Bearbeitung,2,Müller,Sprödigkeit
2025-05-25,Logistik,Produkt C,Verpackungsfehler,Mittel,Behoben,4,Bauer,Karton beschädigt
2025-06-02,Fertigung,Produkt B,Maßabweichung,Kritisch,Offen,1,Schmidt,Bohrung versetzt
2025-06-05,Montage,Produkt A,Montagefehler,Mittel,Behoben,3,Weber,Klemme nicht gesichert
2025-06-08,QS,Produkt D,Dokumentationsfehler,Gering,Behoben,2,Fischer,Messwerte fehlen
2025-06-10,Fertigung,Produkt C,Materialfehler,Kritisch,In Bearbeitung,1,Müller,Falsche Charge
2025-06-12,Logistik,Produkt B,Verpackungsfehler,Gering,Behoben,5,Bauer,Schutzpolster fehlt
2025-06-15,Fertigung,Produkt A,Oberflächenfehler,Mittel,Behoben,4,Schmidt,Bearbeitungsspuren
2025-06-18,Montage,Produkt D,Montagefehler,Gering,Behoben,2,Weber,Schraube zu kurz
2025-06-20,Fertigung,Produkt C,Maßabweichung,Mittel,Offen,3,Müller,Dicke außer Toleranz
2025-06-22,QS,Produkt B,Dokumentationsfehler,Mittel,In Bearbeitung,1,Fischer,Abzeichnung fehlt
2025-06-25,Fertigung,Produkt A,Materialfehler,Gering,Behoben,6,Schmidt,Verunreinigungen
